Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Овсієнко,Лілія,Петрівна,Жінка,1985-11-17,Фотограф,селище Саки,"узвіз Хаджибейська дорога, буд. 0 кв. 64, Мена, 91806",+380 57 890-47-36,abrahamovskavasyl@ukr.net
Козаченко,Кирило,Іванович,Чоловік,1969-12-11,Гірничий інженер,селище Хирів,"парк Томатна, буд. 0 кв. 197, Гнівань, 86262",+380 49 330-07-41,zakharenkozlatoslava@ukr.net
Сірко,Геннадій,Ігорович,Чоловік,1963-11-11,Ботанік,місто Дебальцеве,"провулок Верф’яний, буд. 56 кв. 26, Монастирище, 59616",007 701-67-77,qshyian@gmail.com
Рябець,Назар,Валентинович,Чоловік,1975-09-01,М'ясник,місто Гайсин,"сквер Богуна, буд. 56, Світлодарськ, 86433",+380 44 893 58 39,ubazylevych@ukr.net
Демʼяненко,Онисим,Петрович,Чоловік,1983-09-23,Програміст,місто Алчевськ,"парк Будівельний, буд. 53, Мар'їнка, 79423",647 67 93,mvashchuk@ukr.net
Бабенко,Андрій,Дмитрович,Чоловік,1982-07-19,Музикант,селище Тернопіль,"вулиця Фестивальний, буд. 5, Ромни, 66959",513-67-80,aizhak@ukr.net
Ільченко,Віктор,Валентинович,Чоловік,1956-12-30,Євнух,селище Калуш,"набережна Тупиковий 2-й, буд. 74, Вишгород, 78151",020 938-89-65,umykytiuk@gmail.com
Євтушок,Віктор,Григорович,Чоловік,1949-06-29,Головний меркшейдер,селище Житомир,"набережна Середньофонтанський, буд. 010, Суми, 56947",+380 (73) 799-62-53,zabaraparmen@gmail.com
Деряжна,Емілія,Олегівна,Жінка,1987-05-19,Скульптор,селище Кропивницький,"провулок Миколи Пильчикова, буд. 9, Гірник, 25018",+380 81 381-55-07,hdurdynets@gmail.com
Ємець,Альберт,Олександрович,Чоловік,1992-09-08,Правник,селище Міусинськ,"шосе Польська, буд. 9, Турка, 79997",+380 49 185-44-07,liliia25@gmail.com
Терещук,Маруся,Михайлівна,Жінка,1949-12-16,Живописець,село Жданівка,"провулок Рівний, буд. 243 кв. 442, Кам'янка (Черкаська область), 73453",+380 06 066-31-68,leszhurba@gmail.com
Товстуха,Клавдія,Тимофіївна,Жінка,1937-11-25,Бухгалтер,селище Хмельницький,"узвіз Килимова, буд. 41 кв. 17, Берислав, 32600",026 507 71 06,allaveres@ukr.net
Цісик,Аарон,Зіновійович,Чоловік,1979-02-13,Фрілансер,місто Таврійськ,"провулок Василя Стуса, буд. 4, Щолкіне, 77230",096 034-73-65,albert16@gmail.com
Ажажа,Оксенія,Михайлівна,Жінка,1989-07-04,Золотар,місто Дунаївці,"площа Амундсена, 1-й, буд. 2 кв. 58, Костопіль, 15463",+380 68 667 08 40,opanas61@gmail.com
Комар,Камілла,Ігорівна,Жінка,1938-07-12,Ветеринар,село Соснівка,"вулиця Івахненка Петра, буд. 2, Міусинськ, 01087",022 765 89 79,khorishkomyroslav@ukr.net
Тимчук,Володимира,Андріївна,Жінка,1991-05-14,Фрілансер,село Марганець,"узвіз Астрономічний, буд. 091 кв. 17, Переяслав, 63041",074 731 85 18,serhiilesyk@ukr.net
Мамчур,Леонтій,Петрович,Чоловік,1938-07-28,Науковець,місто Богуслав,"набережна Тюльпанний, буд. 70 кв. 52, Чернівці, 19631",+380 (30) 228-01-51,eduardazhazha@ukr.net
Петрик,Орися,Сергіївна,Жінка,1999-12-30,Доцент,селище Умань,"проспект Картамишевський, буд. 23, Татарбунари, 45150",+380 71 988 19 86,hdeineka@ukr.net
Скоробогатько,Наталія,Олександрівна,Жінка,1946-05-16,Патологоанатом,місто Покров,"площа Водний, буд. 8, Дунаївці, 97667",+380 (30) 105-49-32,spas23@ukr.net
Щербань,Тетяна,Олегівна,Жінка,1957-06-02,Шериф,село Тиврів,"шосе Нафтовиків 1-й, буд. 950 кв. 15, Василівка, 90821",792-54-43,iemetsmarusia@ukr.net
Свириденко,Зорян,Васильович,Чоловік,1969-01-03,Агроном,селище Мена,"сквер Артура Савельєва, буд. 8, Довжанськ, 64064",062 331-85-24,kostiantyn68@ukr.net
Фастенко,Венедикт,Олександрович,Чоловік,1951-10-31,Швачка,місто Золоте,"парк Горизонтальна, буд. 976 кв. 28, Могилів-Подільський, 47624",+380 (86) 531-44-97,makar51@gmail.com
Шморгун,Леонід,Антонович,Чоловік,1973-01-18,Круп'є,селище Торецьк,"площа Траса Здоров'я, буд. 25 кв. 2, Ірпінь, 47629",475-96-83,artem37@ukr.net
Данько,Варвара,Вікторівна,Жінка,1949-11-06,Антрополог,село Мала Виска,"сквер Вапняний 2-й, буд. 3 кв. 873, Старокостянтинів, 42832",+380 (11) 810-44-67,riakymchuk@gmail.com
Бевз,Георгій,Максимович,Чоловік,1959-04-28,Складальник,місто Нова Одеса,"парк Юннатів 1-й, буд. 303 кв. 5, Чернівці, 52680",+380 26 111-21-55,kybkalohalyna@ukr.net
Рудик,Едита,Григорівна,Жінка,1977-09-04,Бібліотекар,село Жашків,"шосе Крутоярська, буд. 8, Герца, 73387",131 02 21,volodymyra36@gmail.com
Ейбоженко,Назар,Володимирович,Чоловік,2000-07-07,Золотар,місто Липовець,"провулок Стороженка Олега, буд. 4 кв. 7, Алушта, 44551",+380 70 875-77-70,lukianiurchyshyna@gmail.com
Батіг,Ярослава,Максимівна,Жінка,1985-03-30,Програміст,селище Соледар,"узвіз Ольгіївський узвіз, буд. 83 кв. 7, Турка, 72893",874-48-46,iaremenkolevko@gmail.com
Голобородько,Ольга,Григорівна,Жінка,1977-01-11,Дизайнер,місто Селидове,"шосе 10-та Лінія Марії Демченко, буд. 1 кв. 5, Донецьк, 18707",001 360-98-92,trokhymkhorishko@ukr.net
Іващенко,Едита,Іванівна,Жінка,2004-08-21,Живописець,село Ніжин,"площа Пресича Олександра, буд. 94 кв. 95, Зугрес, 81744",078 871 38 02,antonolifirenko@ukr.net
Баранник,Олена,Іванівна,Жінка,1988-11-07,Географ,селище Молочанськ,"провулок Люстдорфська дорога, буд. 5, Збараж, 70854",+380 93 313-90-47,kamillaaverchenko@ukr.net
Захарченко,Емілія,Антонівна,Жінка,2005-06-26,Публіцист,місто Подільськ,"набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 22, Запоріжжя, 27161",048 454 15 22,vladyslav67@ukr.net
Забарний,Леонтій,Максимович,Чоловік,1976-08-02,Футболіст,село Перемишляни,"узвіз Самодіяльна, буд. 688 кв. 08, Ходорів, 19615",362 22 99,chabanbohuslava@gmail.com
Шутько,Нестор,Ярославович,Чоловік,1983-03-03,Піаніст,місто Волочиськ,"площа Азербайджан, буд. 130 кв. 325, Яготин, 29555",+380 38 820-95-59,ierchenkokamilla@gmail.com
Примаченко,Феофан,Григорович,Чоловік,1942-09-04,Петрограф,селище Запоріжжя,"вулиця Климовича, буд. 6, Бурштин, 58532",+380 51 287 53 58,mykhaliukdanna@ukr.net
Вишняк,Герман,Григорович,Чоловік,1950-04-24,Шериф,місто Чугуїв,"набережна Тарутинська, буд. 141, Козятин, 25137",+380 96 331 71 71,haidaolha@ukr.net
Даниленко,Софія,Романівна,Жінка,1961-02-19,Астрофізик,село Добропілля,"площа Радісна, буд. 550, Алушта, 72754",079 845 28 17,leopoldshukhevych@gmail.com
Ємельяненко,Тетяна,Володимирівна,Жінка,1945-11-12,Секретар,місто Дубно,"сквер Ванний, буд. 49, Ямпіль, 56042",094 560 48 33,varfolomii56@gmail.com
Батюк,Михайлина,Іванівна,Жінка,1987-05-13,Хореограф,селище Жовква,"проспект 4-та Лінія Марії Демченко, буд. 2 кв. 25, Остер, 54501",010-43-39,zasukhadmytro@gmail.com
Бандера,Софія,Валентинівна,Жінка,1981-11-22,Петрограф,селище Нововолинськ,"парк Павла Кравцова, буд. 6 кв. 971, Нетішин, 89636",+380 06 289-81-85,spavlenko@ukr.net
Бебешко,Дарина,Дмитрівна,Жінка,1999-08-04,Флорист,селище Снятин,"проспект Ігоря Балмагії, буд. 343, Немирів, 17436",652 05 18,khrystynademianenko@ukr.net
Ващенко,Надія,Сергіївна,Жінка,2007-08-27,Патологоанатом,селище Ківерці,"провулок Івана Франка, буд. 71 кв. 6, Хорол, 34070",+380 (28) 495-89-52,tereshchenkodan@gmail.com
Дерегус,Мирослав,Олегович,Чоловік,1996-04-10,Гірничий інженер,село Красноперекопськ,"набережна Кришталевий, буд. 8, Брянка, 22854",+380 34 745-05-92,petro64@ukr.net
Опанасенко,Єфрем,Сергійович,Чоловік,1947-04-22,Геолог,селище Балта,"проспект Кустанайська, буд. 3 кв. 863, Богодухів, 22407",081 164-11-57,iaroslav05@ukr.net
